params,accuracy,f1_score
"(64, 32)-0.001-300",0.9270833333333334,0.9213483146067416
"(64, 32)-0.001-500",0.9270833333333334,0.9213483146067416
"(64, 32)-0.0005-300",0.9479166666666666,0.9425287356321839
"(64, 32)-0.0005-500",0.9479166666666666,0.9425287356321839
"(128, 64)-0.001-300",0.9375,0.9318181818181818
"(128, 64)-0.001-500",0.9375,0.9318181818181818
"(128, 64)-0.0005-300",0.9583333333333334,0.9545454545454546
"(128, 64)-0.0005-500",0.96875,0.9655172413793104
"(256, 128)-0.001-300",0.9479166666666666,0.9425287356321839
"(256, 128)-0.001-500",0.9479166666666666,0.9425287356321839
"(256, 128)-0.0005-300",0.9583333333333334,0.9545454545454546
"(256, 128)-0.0005-500",0.9479166666666666,0.9425287356321839
